knowledge,values,attach
关系运算符,"下表为Java支持的关系运算符

表格中的实例整数变量A的值为10，变量B的值为20：

运算符 描述 例子
== 检查如果两个操作数的值是否相等，如果相等则条件为真。 （A == B）为假。
!= 检查如果两个操作数的值是否相等，如果值不相等则条件为真。 (A != B) 为真。
>  检查左操作数的值是否大于右操作数的值，如果是那么条件为真。 （A> B）为假。
<  检查左操作数的值是否小于右操作数的值，如果是那么条件为真。 （A <B）为真。
>= 检查左操作数的值是否大于或等于右操作数的值，如果是那么条件为真。 （A> = B）为假。
<= 检查左操作数的值是否小于或等于右操作数的值，如果是那么条件为真。 （A <= B）为真。

实例
下面的简单示例程序演示了关系运算符。复制并粘贴下面的Java程序并保存为Test.java文件，然后编译并运行这个程序：

Test.java 文件代码：
public class Test {
 
  public static void main(String[] args) {
     int a = 10;
     int b = 20;
     System.out.println(""a == b = "" + (a == b) );
     System.out.println(""a != b = "" + (a != b) );
     System.out.println(""a > b = "" + (a > b) );
     System.out.println(""a < b = "" + (a < b) );
     System.out.println(""b >= a = "" + (b >= a) );
     System.out.println(""b <= a = "" + (b <= a) );
  }
}
以上实例编译运行结果如下：

a == b = false
a != b = true
a > b = false
a < b = true
b >= a = true
b <= a = false",Java运算符
位运算符,"Java定义了位运算符，应用于整数类型(int)，长整型(long)，短整型(short)，字符型(char)，和字节型(byte)等类型。

位运算符作用在所有的位上，并且按位运算。假设a = 60，b = 13;它们的二进制格式表示将如下：

A = 0011 1100
B = 0000 1101
-----------------
A&B = 0000 1100
A | B = 0011 1101
A ^ B = 0011 0001
~A= 1100 0011
下表列出了位运算符的基本运算，假设整数变量 A 的值为 60 和变量 B 的值为 13：

操作符 描述 例子
＆ 如果相对应位都是1，则结果为1，否则为0 （A＆B），得到12，即0000 1100
| 如果相对应位都是 0，则结果为 0，否则为 1 （A | B）得到61，即 0011 1101
^ 如果相对应位值相同，则结果为0，否则为1 （A ^ B）得到49，即 0011 0001
? 按位取反运算符翻转操作数的每一位，即0变成1，1变成0。 （?A）得到-61，即1100 0011
<<  按位左移运算符。左操作数按位左移右操作数指定的位数。 A << 2得到240，即 1111 0000
>>  按位右移运算符。左操作数按位右移右操作数指定的位数。 A >> 2得到15即 1111
>>>  按位右移补零操作符。左操作数的值按右操作数指定的位数右移，移动得到的空位以零填充。 A>>>2得到15即0000 1111
实例
下面的简单示例程序演示了位运算符。复制并粘贴下面的Java程序并保存为Test.java文件，然后编译并运行这个程序：

Test.java 文件代码：
public class Test {
  public static void main(String[] args) {
     int a = 60; /* 60 = 0011 1100 */ 
     int b = 13; /* 13 = 0000 1101 */
     int c = 0;
     c = a & b;       /* 12 = 0000 1100 */
     System.out.println(""a & b = "" + c );
 
     c = a | b;       /* 61 = 0011 1101 */
     System.out.println(""a | b = "" + c );
 
     c = a ^ b;       /* 49 = 0011 0001 */
     System.out.println(""a ^ b = "" + c );
 
     c = ~a;          /*-61 = 1100 0011 */
     System.out.println(""~a = "" + c );
 
     c = a << 2;     /* 240 = 1111 0000 */
     System.out.println(""a << 2 = "" + c );
 
     c = a >> 2;     /* 15 = 1111 */
     System.out.println(""a >> 2  = "" + c );
  
     c = a >>> 2;     /* 15 = 0000 1111 */
     System.out.println(""a >>> 2 = "" + c );
  }
} 
以上实例编译运行结果如下：

a & b = 12
a | b = 61
a ^ b = 49
~a = -61
a << 2 = 240
a >> 2  = 15
a >>> 2 = 15",Java运算符
逻辑运算符,"下表列出了逻辑运算符的基本运算，假设布尔变量A为真，变量B为假

操作符 描述 例子
&& 称为逻辑与运算符。当且仅当两个操作数都为真，条件才为真。 （A && B）为假。
| | 称为逻辑或操作符。如果任何两个操作数任何一个为真，条件为真。 （A | | B）为真。
！ 称为逻辑非运算符。用来反转操作数的逻辑状态。如果条件为true，则逻辑非运算符将得到false。 ！（A && B）为真。
实例
下面的简单示例程序演示了逻辑运算符。复制并粘贴下面的Java程序并保存为Test.java文件，然后编译并运行这个程序：

实例
public class Test {
  public static void main(String[] args) {
     boolean a = true;
     boolean b = false;
     System.out.println(""a && b = "" + (a&&b));
     System.out.println(""a || b = "" + (a||b) );
     System.out.println(""!(a && b) = "" + !(a && b));
  }
}
以上实例编译运行结果如下：

a && b = false
a || b = true
!(a && b) = true
短路逻辑运算符
当使用与逻辑运算符时，在两个操作数都为true时，结果才为true，但是当得到第一个操作为false时，其结果就必定是false，这时候就不会再判断第二个操作了。

实例
public class LuoJi{
    public static void main(String[] args){
        int a = 5;//定义一个变量；
        boolean b = (a<4)&&(a++<10);
        System.out.println(""使用短路逻辑运算符的结果为""+b);
        System.out.println(""a的结果为""+a);
    }
}
运行结果为：

使用短路逻辑运算符的结果为false
a的结果为5
解析： 该程序使用到了短路逻辑运算符(&&)，首先判断 a<4 的结果为 false，则 b 的结果必定是 false，所以不再执行第二个操作 a++<10 的判断，所以 a 的值为 5。",Java运算符
赋值运算符,"下面是Java语言支持的赋值运算符：

操作符 描述 例子
= 简单的赋值运算符，将右操作数的值赋给左侧操作数 C = A + B将把A + B得到的值赋给C
+ = 加和赋值操作符，它把左操作数和右操作数相加赋值给左操作数 C + = A等价于C = C + A
- = 减和赋值操作符，它把左操作数和右操作数相减赋值给左操作数 C - = A等价于C = C - A
* = 乘和赋值操作符，它把左操作数和右操作数相乘赋值给左操作数 C * = A等价于C = C * A
/ = 除和赋值操作符，它把左操作数和右操作数相除赋值给左操作数 C / = A，C 与 A 同类型时等价于 C = C / A
（％）= 取模和赋值操作符，它把左操作数和右操作数取模后赋值给左操作数 C％= A等价于C = C％A
<< = 左移位赋值运算符 C << = 2等价于C = C << 2
>> = 右移位赋值运算符 C >> = 2等价于C = C >> 2
＆= 按位与赋值运算符 C＆= 2等价于C = C＆2
^ = 按位异或赋值操作符 C ^ = 2等价于C = C ^ 2
| = 按位或赋值操作符 C | = 2等价于C = C | 2
实例
下面的简单示例程序演示了赋值运算符。复制并粘贴下面的Java程序并保存为Test.java文件，然后编译并运行这个程序：

Test.java 文件代码：
public class Test {
    public static void main(String[] args) {
        int a = 10;
        int b = 20;
        int c = 0;
        c = a + b;
        System.out.println(""c = a + b = "" + c );
        c += a ;
        System.out.println(""c += a  = "" + c );
        c -= a ;
        System.out.println(""c -= a = "" + c );
        c *= a ;
        System.out.println(""c *= a = "" + c );
        a = 10;
        c = 15;
        c /= a ;
        System.out.println(""c /= a = "" + c );
        a = 10;
        c = 15;
        c %= a ;
        System.out.println(""c %= a  = "" + c );
        c <<= 2 ;
        System.out.println(""c <<= 2 = "" + c );
        c >>= 2 ;
        System.out.println(""c >>= 2 = "" + c );
        c >>= 2 ;
        System.out.println(""c >>= 2 = "" + c );
        c &= a ;
        System.out.println(""c &= a  = "" + c );
        c ^= a ;
        System.out.println(""c ^= a   = "" + c );
        c |= a ;
        System.out.println(""c |= a   = "" + c );
    }
}
以上实例编译运行结果如下：

c = a + b = 30
c += a  = 40
c -= a = 30
c *= a = 300
c /= a = 1
c %= a  = 5
c <<= 2 = 20
c >>= 2 = 5
c >>= 2 = 1
c &= a  = 0
c ^= a   = 10
c |= a   = 10",Java运算符
条件运算符,"条件运算符也被称为三元运算符。该运算符有3个操作数，并且需要判断布尔表达式的值。该运算符的主要是决定哪个值应该赋值给变量。

variable x = (expression) ? value if true : value if false
实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args){
      int a , b;
      a = 10;
      // 如果 a 等于 1 成立，则设置 b 为 20，否则为 30
      b = (a == 1) ? 20 : 30;
      System.out.println( ""Value of b is : "" +  b );
 
      // 如果 a 等于 10 成立，则设置 b 为 20，否则为 30
      b = (a == 10) ? 20 : 30;
      System.out.println( ""Value of b is : "" + b );
   }
}
以上实例编译运行结果如下：

Value of b is : 30
Value of b is : 20",Java运算符
instanceof运算符,"该运算符用于操作对象实例，检查该对象是否是一个特定类型（类类型或接口类型）。

instanceof运算符使用格式如下：

( Object reference variable ) instanceof  (class/interface type)
如果运算符左侧变量所指的对象，是操作符右侧类或接口(class/interface)的一个对象，那么结果为真。

下面是一个例子：

String name = ""James"";
boolean result = name instanceof String; // 由于 name 是 String 类型，所以返回真
如果被比较的对象兼容于右侧类型，该运算符仍然返回 true。

看下面的例子：

class Vehicle {}
 
public class Car extends Vehicle {
   public static void main(String[] args){
      Vehicle a = new Car();
      boolean result =  a instanceof Car;
      System.out.println( result);
   }
}
以上实例编译运行结果如下：
true",Java运算符
Java运算符优先级,"当多个运算符出现在一个表达式中，谁先谁后呢？这就涉及到运算符的优先级别的问题。在一个多运算符的表达式中，运算符优先级不同会导致最后得出的结果差别甚大。

例如，（1+3）＋（3+2）*2，这个表达式如果按加号最优先计算，答案就是 18，如果按照乘号最优先，答案则是 14。

再如，x = 7 + 3 * 2;这里x得到13，而不是20，因为乘法运算符比加法运算符有较高的优先级，所以先计算3 * 2得到6，然后再加7。

下表中具有最高优先级的运算符在的表的最上面，最低优先级的在表的底部。

类别 操作符 关联性
后缀 () [] . (点操作符) 左到右
一元 expr++ expr-- 从左到右
一元 ++expr --expr + - ～ ！ 从右到左
乘性  * /％ 左到右
加性  + - 左到右
移位  >> >>>  <<  左到右
关系  > >= < <=  左到右
相等  ==  != 左到右
按位与 ＆ 左到右
按位异或 ^ 左到右
按位或 | 左到右
逻辑与 && 左到右
逻辑或 | | 左到右
条件 ？： 从右到左
赋值 = + = - = * = / =％= >> = << =＆= ^ = | = 从右到左
逗号 ， 左到右


",Java运算符
Java循环结构,"顺序结构的程序语句只能被执行一次。
如果您想要同样的操作执行多次，就需要使用循环结构。
Java中有三种主要的循环结构：
while 循环
do…while 循环
for 循环
在 Java5 中引入了一种主要用于数组的增强型 for 循环。",Java循环结构
while循环,"while是最基本的循环，它的结构为：

while( 布尔表达式 ) {
  //循环内容
}
只要布尔表达式为 true，循环就会一直执行下去。

实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args) {
      int x = 10;
      while( x < 20 ) {
         System.out.print(""value of x : "" + x );
         x++;
         System.out.print(""\n"");
      }
   }
}
以上实例编译运行结果如下：

value of x : 10
value of x : 11
value of x : 12
value of x : 13
value of x : 14
value of x : 15
value of x : 16
value of x : 17
value of x : 18
value of x : 19",Java循环结构
do...while循环,"对于 while 语句而言，如果不满足条件，则不能进入循环。但有时候我们需要即使不满足条件，也至少执行一次。

do…while 循环和 while 循环相似，不同的是，do…while 循环至少会执行一次。

do {
       //代码语句
}while(布尔表达式);
注意：布尔表达式在循环体的后面，所以语句块在检测布尔表达式之前已经执行了。 如果布尔表达式的值为 true，则语句块一直执行，直到布尔表达式的值为 false。

实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args){
      int x = 10;
 
      do{
         System.out.print(""value of x : "" + x );
         x++;
         System.out.print(""\n"");
      }while( x < 20 );
   }
}
以上实例编译运行结果如下：

value of x : 10
value of x : 11
value of x : 12
value of x : 13
value of x : 14
value of x : 15
value of x : 16
value of x : 17
value of x : 18
value of x : 19",Java循环结构
for循环,"虽然所有循环结构都可以用 while 或者 do...while表示，但 Java 提供了另一种语句 —— for 循环，使一些循环结构变得更加简单。

for循环执行的次数是在执行前就确定的。语法格式如下：

for(初始化; 布尔表达式; 更新) {
    //代码语句
}
关于 for 循环有以下几点说明：

最先执行初始化步骤。可以声明一种类型，但可初始化一个或多个循环控制变量，也可以是空语句。
然后，检测布尔表达式的值。如果为 true，循环体被执行。如果为false，循环终止，开始执行循环体后面的语句。
执行一次循环后，更新循环控制变量。
再次检测布尔表达式。循环执行上面的过程。
实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args) {
 
      for(int x = 10; x < 20; x = x+1) {
         System.out.print(""value of x : "" + x );
         System.out.print(""\n"");
      }
   }
}
以上实例编译运行结果如下：

value of x : 10
value of x : 11
value of x : 12
value of x : 13
value of x : 14
value of x : 15
value of x : 16
value of x : 17
value of x : 18
value of x : 19",Java循环结构
Java增强for循环,"Java5 引入了一种主要用于数组的增强型 for 循环。

Java 增强 for 循环语法格式如下:

for(声明语句 : 表达式)
{
   //代码句子
}
声明语句：声明新的局部变量，该变量的类型必须和数组元素的类型匹配。其作用域限定在循环语句块，其值与此时数组元素的值相等。

表达式：表达式是要访问的数组名，或者是返回值为数组的方法。

实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args){
      int [] numbers = {10, 20, 30, 40, 50};
 
      for(int x : numbers ){
         System.out.print( x );
         System.out.print("","");
      }
      System.out.print(""\n"");
      String [] names ={""James"", ""Larry"", ""Tom"", ""Lacy""};
      for( String name : names ) {
         System.out.print( name );
         System.out.print("","");
      }
   }
}
以上实例编译运行结果如下：

10,20,30,40,50,
James,Larry,Tom,Lacy,",Java循环结构
break关键字,"break 主要用在循环语句或者 switch 语句中，用来跳出整个语句块。

break 跳出最里层的循环，并且继续执行该循环下面的语句。

语法
break 的用法很简单，就是循环结构中的一条语句：

break;
实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args) {
      int [] numbers = {10, 20, 30, 40, 50};
 
      for(int x : numbers ) {
         // x 等于 30 时跳出循环
         if( x == 30 ) {
            break;
         }
         System.out.print( x );
         System.out.print(""\n"");
      }
   }
}
以上实例编译运行结果如下：

10
20",Java循环结构
continue关键字,"continue 适用于任何循环控制结构中。作用是让程序立刻跳转到下一次循环的迭代。

在 for 循环中，continue 语句使程序立即跳转到更新语句。

在 while 或者 do…while 循环中，程序立即跳转到布尔表达式的判断语句。

语法
continue 就是循环体中一条简单的语句：

continue;
实例
Test.java 文件代码：
public class Test {
   public static void main(String[] args) {
      int [] numbers = {10, 20, 30, 40, 50};
 
      for(int x : numbers ) {
         if( x == 30 ) {
        continue;
         }
         System.out.print( x );
         System.out.print(""\n"");
      }
   }
}
以上实例编译运行结果如下：

10
20
40
50",Java循环结构
Java条件语句,"Java 中的条件语句允许程序根据条件的不同执行不同的代码块。

一个 if 语句包含一个布尔表达式和一条或多条语句。

语法
if 语句的语法如下：

if(布尔表达式)
{
   //如果布尔表达式为true将执行的语句
}
如果布尔表达式的值为 true，则执行 if 语句中的代码块，否则执行 else 语句块后面的代码。

Test.java 文件代码：
public class Test {
 
   public static void main(String args[]){
      int x = 10;
 
      if( x < 20 ){
         System.out.print(""这是 if 语句"");
      }
   }
}
以上代码编译运行结果如下：

这是 if 语句

if...else语句
if 语句后面可以跟 else 语句，当 if 语句的布尔表达式值为 false 时，else 语句块会被执行。

语法
if…else 的用法如下：

if(布尔表达式){
   //如果布尔表达式的值为true
}else{
   //如果布尔表达式的值为false
}
实例
Test.java 文件代码：
public class Test {
 
   public static void main(String args[]){
      int x = 30;
 
      if( x < 20 ){
         System.out.print(""这是 if 语句"");
      }else{
         System.out.print(""这是 else 语句"");
      }
   }
}
以上代码编译运行结果如下：

这是 else 语句
if...else if...else 语句
if 语句后面可以跟 else if…else 语句，这种语句可以检测到多种可能的情况。

使用 if，else if，else 语句的时候，需要注意下面几点：

if 语句至多有 1 个 else 语句，else 语句在所有的 else if 语句之后。
if 语句可以有若干个 else if 语句，它们必须在 else 语句之前。
一旦其中一个 else if 语句检测为 true，其他的 else if 以及 else 语句都将跳过执行。
语法
if...else 语法格式如下:

if(布尔表达式 1){
   //如果布尔表达式 1的值为true执行代码
}else if(布尔表达式 2){
   //如果布尔表达式 2的值为true执行代码
}else if(布尔表达式 3){
   //如果布尔表达式 3的值为true执行代码
}else {
   //如果以上布尔表达式都不为true执行代码
}
实例
Test.java 文件代码：
public class Test {
   public static void main(String args[]){
      int x = 30;
 
      if( x == 10 ){
         System.out.print(""Value of X is 10"");
      }else if( x == 20 ){
         System.out.print(""Value of X is 20"");
      }else if( x == 30 ){
         System.out.print(""Value of X is 30"");
      }else{
         System.out.print(""这是 else 语句"");
      }
   }
}
以上代码编译运行结果如下：

Value of X is 30",Java条件语句
嵌套的if...else语句,"使用嵌套的 if…else 语句是合法的。也就是说你可以在另一个 if 或者 else if 语句中使用 if 或者 else if 语句。

语法
嵌套的 if…else 语法格式如下：

if(布尔表达式 1){
   ////如果布尔表达式 1的值为true执行代码
   if(布尔表达式 2){
      ////如果布尔表达式 2的值为true执行代码
   }
}
你可以像 if 语句一样嵌套 else if...else。

实例
Test.java 文件代码：
public class Test {
 
   public static void main(String args[]){
      int x = 30;
      int y = 10;
 
      if( x == 30 ){
         if( y == 10 ){
             System.out.print(""X = 30 and Y = 10"");
          }
       }
    }
}
以上代码编译运行结果如下：

X = 30 and Y = 10",Java条件语句
Java switch case语句 ,"switch case 语句判断一个变量与一系列值中某个值是否相等，每个值称为一个分支。

语法
switch case 语句语法格式如下：

switch(expression){
    case value :
       //语句
       break; //可选
    case value :
       //语句
       break; //可选
    //你可以有任意数量的case语句
    default : //可选
       //语句
}switch case 语句有如下规则：

switch 语句中的变量类型可以是： byte、short、int 或者 char。从 Java SE 7 开始，switch 支持字符串 String 类型了，同时 case 标签必须为字符串常量或字面量。

switch 语句可以拥有多个 case 语句。每个 case 后面跟一个要比较的值和冒号。

case 语句中的值的数据类型必须与变量的数据类型相同，而且只能是常量或者字面常量。

当变量的值与 case 语句的值相等时，那么 case 语句之后的语句开始执行，直到 break 语句出现才会跳出 switch 语句。

当遇到 break 语句时，switch 语句终止。程序跳转到 switch 语句后面的语句执行。case 语句不必须要包含 break 语句。如果没有 break 语句出现，程序会继续执行下一条 case 语句，直到出现 break 语句。

switch 语句可以包含一个 default 分支，该分支一般是 switch 语句的最后一个分支（可以在任何位置，但建议在最后一个）。default 在没有 case 语句的值和变量值相等的时候执行。default 分支不需要 break 语句。

switch case 执行时，一定会先进行匹配，匹配成功返回当前 case 的值，再根据是否有 break，判断是否继续输出，或是跳出判断。

实例
Test.java 文件代码：
public class Test {
   public static void main(String args[]){
      //char grade = args[0].charAt(0);
      char grade = 'C';
 
      switch(grade)
      {
         case 'A' :
            System.out.println(""优秀""); 
            break;
         case 'B' :
         case 'C' :
            System.out.println(""良好"");
            break;
         case 'D' :
            System.out.println(""及格"");
            break;
         case 'F' :
            System.out.println(""你需要再努力努力"");
            break;
         default :
            System.out.println(""未知等级"");
      }
      System.out.println(""你的等级是 "" + grade);
   }
}
以上代码编译运行结果如下：

良好
你的等级是 C
如果 case 语句块中没有 break 语句时，JVM 并不会顺序输出每一个 case 对应的返回值，而是继续匹配，匹配不成功则返回默认 case。

Test.java 文件代码：
public class Test {
   public static void main(String args[]){
      int i = 5;
      switch(i){
         case 0:
            System.out.println(""0"");
         case 1:
            System.out.println(""1"");
         case 2:
            System.out.println(""2"");
         default:
            System.out.println(""default"");
      }
   }
}
以上代码编译运行结果如下：

default
如果 case 语句块中没有 break 语句时，匹配成功后，从当前 case 开始，后续所有 case 的值都会输出。

Test.java 文件代码：
public class Test {
   public static void main(String args[]){
      int i = 1;
      switch(i){
         case 0:
            System.out.println(""0"");
         case 1:
            System.out.println(""1"");
         case 2:
            System.out.println(""2"");
         default:
            System.out.println(""default"");
      }
   }
}
以上代码编译运行结果如下：

1
2
default
如果当前匹配成功的 case 语句块没有 break 语句，则从当前 case 开始，后续所有 case 的值都会输出，如果后续的 case 语句块有 break 语句则会跳出判断。

Test.java 文件代码：
public class Test {
   public static void main(String args[]){
      int i = 1;
      switch(i){
         case 0:
            System.out.println(""0"");
         case 1:
            System.out.println(""1"");
         case 2:
            System.out.println(""2"");
         case 3:
            System.out.println(""3""); break;
         default:
            System.out.println(""default"");
      }
   }
}
以上代码编译运行结果如下：

1
2
3",Java条件语句
Java Number & Math 类,"一般地，当需要使用数字的时候，我们通常使用内置数据类型，如：byte、int、long、double 等。

实例
int a = 5000;
float b = 13.65f;
byte c = 0x4a;
然而，在实际开发过程中，我们经常会遇到需要使用对象，而不是内置数据类型的情形。为了解决这个问题，Java 语言为每一个内置数据类型提供了对应的包装类。

所有的包装类（Integer、Long、Byte、Double、Float、Short）都是抽象类 Number 的子类。

包装类 基本数据类型
Boolean boolean
Byte byte
Short short
Integer int
Long long
Character char
Float float
Double double这种由编译器特别支持的包装称为装箱，所以当内置数据类型被当作对象使用的时候，编译器会把内置类型装箱为包装类。相似的，编译器也可以把一个对象拆箱为内置类型。Number 类属于 java.lang 包。

下面是一个使用 Integer 对象的实例：

Test.java 文件代码：
public class Test{
 
   public static void main(String[] args){
      Integer x = 5;
      x =  x + 10;
      System.out.println(x); 
   }
}
以上实例编译运行结果如下：

15
当 x 被赋为整型值时，由于x是一个对象，所以编译器要对x进行装箱。然后，为了使x能进行加运算，所以要对x进行拆箱。",Java Number & Math 类
Java Math类,"Java 的 Math 包含了用于执行基本数学运算的属性和方法，如初等指数、对数、平方根和三角函数。

Math 的方法都被定义为 static 形式，通过 Math 类可以在主函数中直接调用。

Test.java 文件代码：
public class Test {  
    public static void main (String []args)  
    {  
        System.out.println(""90 度的正弦值："" + Math.sin(Math.PI/2));  
        System.out.println(""0度的余弦值："" + Math.cos(0));  
        System.out.println(""60度的正切值："" + Math.tan(Math.PI/3));  
        System.out.println(""1的反正切值： "" + Math.atan(1));  
        System.out.println(""π/2的角度值："" + Math.toDegrees(Math.PI/2));  
        System.out.println(Math.PI);  
    }  
}
以上实例编译运行结果如下：

90 度的正弦值：1.0
0度的余弦值：1.0
60度的正切值：1.7320508075688767
1的反正切值： 0.7853981633974483
π/2的角度值：90.0
3.141592653589793",Java Number & Math 类
Number & Math 类方法,"下面的表中列出的是 Number & Math 类常用的一些方法：

序号 方法与描述
1 xxxValue()
将 Number 对象转换为xxx数据类型的值并返回。
2 compareTo()
将number对象与参数比较。
3 equals()
判断number对象是否与参数相等。
4 valueOf()
返回一个 Number 对象指定的内置数据类型
5 toString()
以字符串形式返回值。
6 parseInt()
将字符串解析为int类型。
7 abs()
返回参数的绝对值。
8 ceil()
返回大于等于( >= )给定参数的的最小整数，类型为双精度浮点型。
9 floor()
返回小于等于（<=）给定参数的最大整数 。
10 rint()
返回与参数最接近的整数。返回类型为double。
11 round()
它表示四舍五入，算法为 Math.floor(x+0.5)，即将原来的数字加上 0.5 后再向下取整，所以，Math.round(11.5) 的结果为12，Math.round(-11.5) 的结果为-11。
12 min()
返回两个参数中的最小值。
13 max()
返回两个参数中的最大值。
14 exp()
返回自然数底数e的参数次方。
15 log()
返回参数的自然数底数的对数值。
16 pow()
返回第一个参数的第二个参数次方。
17 sqrt()
求参数的算术平方根。
18 sin()
求指定double类型参数的正弦值。
19 cos()
求指定double类型参数的余弦值。
20 tan()
求指定double类型参数的正切值。
21 asin()
求指定double类型参数的反正弦值。
22 acos()
求指定double类型参数的反余弦值。
23 atan()
求指定double类型参数的反正切值。
24 atan2()
将笛卡尔坐标转换为极坐标，并返回极坐标的角度值。
25 toDegrees()
将参数转化为角度。
26 toRadians()
将角度转换为弧度。
27 random()
返回一个随机数。",Java Number & Math 类
"Math 的 floor,round 和 ceil 方法实例比较","参数 Math.floor Math.round Math.ceil
1.4 1 1 2
1.5 1 2 2
1.6 1 2 2
-1.4 -2 -1 -1
-1.5 -2 -1 -1
-1.6 -2 -2 -1
floor,round 和 ceil 实例：
public class Main {   
  public static void main(String[] args) {   
    double[] nums = { 1.4, 1.5, 1.6, -1.4, -1.5, -1.6 };   
    for (double num : nums) {   
      test(num);   
    }   
  }   
  
  private static void test(double num) {   
    System.out.println(""Math.floor("" + num + "")="" + Math.floor(num));   
    System.out.println(""Math.round("" + num + "")="" + Math.round(num));   
    System.out.println(""Math.ceil("" + num + "")="" + Math.ceil(num));   
  }   
}
以上实例执行输出结果为：

Math.floor(1.4)=1.0
Math.round(1.4)=1
Math.ceil(1.4)=2.0
Math.floor(1.5)=1.0
Math.round(1.5)=2
Math.ceil(1.5)=2.0
Math.floor(1.6)=1.0
Math.round(1.6)=2
Math.ceil(1.6)=2.0
Math.floor(-1.4)=-2.0
Math.round(-1.4)=-1
Math.ceil(-1.4)=-1.0
Math.floor(-1.5)=-2.0
Math.round(-1.5)=-1
Math.ceil(-1.5)=-1.0
Math.floor(-1.6)=-2.0
Math.round(-1.6)=-2
Math.ceil(-1.6)=-1.0
",Java Number & Math 类
Java Character 类,"Character 类用于对单个字符进行操作。

Character 类在对象中包装一个基本类型 char 的值

实例
char ch = 'a';
 
// Unicode 字符表示形式
char uniChar = '\u039A'; 
 
// 字符数组
char[] charArray ={ 'a', 'b', 'c', 'd', 'e' };
然而，在实际开发过程中，我们经常会遇到需要使用对象，而不是内置数据类型的情况。为了解决这个问题，Java语言为内置数据类型char提供了包装类Character类。

Character类提供了一系列方法来操纵字符。你可以使用Character的构造方法创建一个Character类对象，例如：

Character ch = new Character('a');
在某些情况下，Java编译器会自动创建一个Character对象。

例如，将一个char类型的参数传递给需要一个Character类型参数的方法时，那么编译器会自动地将char类型参数转换为Character对象。 这种特征称为装箱，反过来称为拆箱。

实例
// 原始字符 'a' 装箱到 Character 对象 ch 中
Character ch = 'a';
 
// 原始字符 'x' 用 test 方法装箱
// 返回拆箱的值到 'c'
char c = test('x');",Java Character 类
转义序列,"前面有反斜杠（\）的字符代表转义字符，它对编译器来说是有特殊含义的。

下面列表展示了Java的转义序列：

转义序列 描述
\t 在文中该处插入一个tab键
\b 在文中该处插入一个后退键
\n 在文中该处换行
\r 在文中该处插入回车
\f 在文中该处插入换页符
\' 在文中该处插入单引号
\"" 在文中该处插入双引号
\\ 在文中该处插入反斜杠
实例
当打印语句遇到一个转义序列时，编译器可以正确地对其进行解释。

以下实例转义双引号并输出：

Test.java 文件代码：
public class Test {
 
   public static void main(String[] args) {
      System.out.println(""访问\""菜鸟教程!\"""");
   }
}

以上实例编译运行结果如下：

访问""菜鸟教程!""",Java Character 类
Character方法,"下面是Character类的方法：

序号 方法与描述
1 isLetter()
是否是一个字母
2 isDigit()
是否是一个数字字符
3 isWhitespace()
是否是一个空白字符
4 isUpperCase()
是否是大写字母
5 isLowerCase()
是否是小写字母
6 toUpperCase()
指定字母的大写形式
7 toLowerCase()
指定字母的小写形式
8 toString()
返回字符的字符串形式，字符串的长度仅为1",Java Character 类
Java String 类,字符串广泛应用 在 Java 编程中，在 Java 中字符串属于对象，Java 提供了 String 类来创建和操作字符串。,Java String 类
创建字符串,"创建字符串最简单的方式如下:

String str = ""Runoob"";
在代码中遇到字符串常量时，这里的值是 ""Runoob""，编译器会使用该值创建一个 String 对象。

和其它对象一样，可以使用关键字和构造方法来创建 String 对象。

用构造函数创建字符串：

String str2=new String(""Runoob"");
String 创建的字符串存储在公共池中，而 new 创建的字符串对象在堆上：

String s1 = ""Runoob"";              // String 直接创建
String s2 = ""Runoob"";              // String 直接创建
String s3 = s1;                    // 相同引用
String s4 = new String(""Runoob"");   // String 对象创建
String s5 = new String(""Runoob"");   // String 对象创建String 类有 11 种构造方法，这些方法提供不同的参数来初始化字符串，比如提供一个字符数组参数:

StringDemo.java 文件代码：
public class StringDemo{
   public static void main(String args[]){
      char[] helloArray = { 'r', 'u', 'n', 'o', 'o', 'b'};
      String helloString = new String(helloArray);  
      System.out.println( helloString );
   }
}
以上实例编译运行结果如下：

runoob
注意:String 类是不可改变的，所以你一旦创建了 String 对象，那它的值就无法改变了（详看笔记部分解析）。

如果需要对字符串做很多修改，那么应该选择使用 StringBuffer & StringBuilder 类。",Java String 类
字符串长度,"用于获取有关对象的信息的方法称为访问器方法。

String 类的一个访问器方法是 length() 方法，它返回字符串对象包含的字符数。

下面的代码执行后，len 变量等于 14:

StringDemo.java 文件代码：
public class StringDemo {
    public static void main(String args[]) {
        String site = ""www.runoob.com"";
        int len = site.length();
        System.out.println( ""菜鸟教程网址长度 : "" + len );
   }
}

以上实例编译运行结果如下：

菜鸟教程网址长度 : 14",Java String 类
